Date : 2024-07-21 17:38:11
Directory : c:\Users\jakec\OneDrive\Documents\ProtoFramework
Total : 80 files,  7469 codes, 365 comments, 2464 blanks, all 10298 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\Camera.luau                                 | Luau     |         17 |          0 |          8 |         25 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\Laser.luau                                  | Luau     |         86 |          1 |         41 |        128 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\Unorganized\LaserReflectionPart.luau                    | Luau     |          5 |          0 |          5 |         10 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Client\init.client.luau                                        | Luau     |          3 |          0 |          1 |          4 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\Proto.luau                                               | Luau     |        441 |          1 |        159 |        601 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses.luau                                        | Luau     |        237 |          5 |        106 |        348 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoObject.luau                            | Luau     |        165 |          4 |         68 |        237 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoState.luau                             | Luau     |         12 |          0 |          8 |         20 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoTemplate.luau                          | Luau     |         25 |          0 |         15 |         40 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoClasses\ProtoWorker.luau                            | Luau     |        116 |          1 |         63 |        180 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoDeclarative.luau                                    | Luau     |        391 |         16 |        173 |        580 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoNetwork.luau                                        | Luau     |        219 |          4 |         77 |        300 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoParallel.luau                                       | Luau     |        156 |          5 |         73 |        234 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoPlayerUtil.luau                                     | Luau     |        122 |          0 |         43 |        165 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoUIStory.luau                                        | Luau     |         37 |          0 |         12 |         49 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Proto\ProtoValues.luau                                         | Luau     |         63 |          0 |         36 |         99 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Actors\ParallelWorkerRunner.server.luau                 | Luau     |          5 |          0 |          2 |          7 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\CharacterCollisionGroup.luau   | Luau     |         22 |          0 |         11 |         33 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\DestroyOnDeath.luau            | Luau     |         12 |          0 |          6 |         18 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\DisableCharacterCollision.luau | Luau     |         10 |          0 |          9 |         19 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\ObbyCharacterManager.luau      | Luau     |          8 |          1 |          5 |         14 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\CharacterClasses\TeleportOnStart.luau           | Luau     |         12 |          0 |          6 |         18 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\ObbyLevel.luau                                  | Luau     |         34 |          1 |         16 |         51 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\PlayerClasses\CharacterLoader.luau              | Luau     |         10 |          0 |          4 |         14 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\PlayerClasses\HungerGamesPlayerManager.luau     | Luau     |          8 |          2 |          6 |         16 |
